IFSC Code,Bank ID,Bank Name,Regex,Bank Name
UTIB0CCH274,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB04,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB05,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB06,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB07,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SJCB08,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0NPS001,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0PSCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SAMC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SDCCB1,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIPSB1,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIPSB2,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIPSB3,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIPSB4,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SIPSB5,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SNUC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SRUCB1,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SSMC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0ACCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0BHIW01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0CSCB22,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0FCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0HCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0HSCB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0JCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0JIND01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0KAIT01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0KCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0KURU01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0PCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0RCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0REWA01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SADC83,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SAS001,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SASR01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SBCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SBDC01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SBUCB1,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SCCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SDCC29,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFAZ01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFCB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFDK03,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFGH01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SFZB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB01,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB02,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB03,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB04,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB05,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB06,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB07,1,Axis Bank,^UTIB000[0-9]{4}$,
UTIB0SGCB08,1,Axis Bank,^UTIB000[0-9]{4}$,
